Id,Label,name,support,confidence,lift,Modularity Class,In-Degree,Out-Degree,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,PageRank,Clustering Coefficient,Reciprocated Vertex Pair Ratio,Dynamic Filter
n1095,.,r884,0.00287522,0.833333,4.62993,7,2,1,2962.938895,0.000206,0.000452,0.597639,0,0,
n1094,.,r883,0.00287522,0.833333,4.62993,1,2,1,200.59322,0.000195,0.000726,0.571786,0,0,
n1093,.,r882,0.00287522,0.833333,4.62993,1,2,1,1654.54879,0.000202,0.000471,0.589565,0,0,
n1092,.,r881,0.00287522,0.833333,4.62993,1,2,1,1137.249554,0.000195,0.000675,0.617634,0,0,
n65,engineering,102,,,,1,0,3,19.393784,0.000164,4.20E-05,0.668082,0,0,
n1091,.,r880,0.00287522,0.833333,4.62993,1,2,1,600.863723,0.000195,0.000538,0.601818,0,0,
n195,transportation,310,,,,1,3,5,2551.724249,0.000182,6.40E-05,1.579335,0,0,
n1090,.,r879,0.00287522,0.833333,4.62993,1,2,1,743.517167,0.000195,0.000399,0.61835,0,0,
n1089,.,r878,0.00287522,0.833333,4.62993,1,1,1,252.781146,0.000193,0.000377,0.461549,0,0,
n1088,.,r877,0.00575043,0.833333,4.62993,1,2,1,2134.933826,0.000209,0.001501,0.638381,0,0,
n52,demo,86,,,,1,0,2,9.93672,0.000181,3.70E-05,0.495984,0,0,
n1087,.,r876,0.00632547,0.846154,4.70116,2,1,1,675.375258,0.000187,0.001142,0.471799,0,0,
n172,singer,273,,,,2,1,4,396.808227,0.000155,6.60E-05,1.099964,0,0,
n1086,.,r875,0.0040253,0.7,4.71822,7,2,1,531.200386,0.000187,3.50E-05,0.688714,0,0,
n132,natural.disaster,210,,,,7,2,5,2057.685856,0.000173,2.10E-05,1.548367,0,0,
n58,disaster.relief,93,,,,7,3,3,1712.783505,0.000173,2.10E-05,1.336109,0,0,
n1085,.,r874,0.00287522,0.714286,4.741,7,1,1,250.61218,0.000187,2.90E-05,0.499432,0,0,
n1084,.,r873,0.00287522,0.714286,4.741,1,3,1,6142.272357,0.000232,0.002056,0.694599,0,0,
n1083,.,r872,0.00345026,0.857143,4.76221,1,3,1,9646.682498,0.000238,0.00158,0.731564,0,0,
n1082,.,r871,0.00287522,0.714286,4.79592,5,1,1,2871.277018,0.000188,0.000359,0.59664,0,0,
n160,productivity,255,,,,5,0,2,538.657821,0.000154,4.00E-06,0.717071,0,0,
n1081,.,r870,0.00287522,0.714286,4.79592,2,3,1,2632.297186,0.000225,0.003412,0.683111,0,0,
n1080,.,r869,0.00287522,0.714286,4.81451,2,3,1,314.507655,0.000193,0.00235,0.681323,0,0,
n115,live.music,175,,,,2,6,35,10662.7269,0.000189,0.000961,6.349757,0,0,
